    time  asom11tosom21  asom12tosom22  asom12tosom3  asom21tosom11  asom21tosom22  asom22tosom12  asom22tosom3  asom3tosom12  ametc1tosom11  ametc2tosom12  astruc1tosom11  astruc1tosom21  astruc2tosom12  astruc2tosom22  awood1tosom11  awood1tosom21  awood2tosom11  awood2tosom21  awood3tosom12  awood3tosom22
 1934.00    0.032565      5.151290      0.090242      0.000144      0.000892      3.031783      0.032688      0.963396      0.348712      4.419469      0.033786      0.021423      0.731101      0.391212      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1935.00    0.009882      3.523929      0.061363      0.000049      0.000304      3.006596      0.032416      0.970858      0.054029      2.051468      0.005890      0.003964      0.523867      0.282994      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1936.00    0.026816      5.552626      0.097643      0.000137      0.000843      3.311595      0.035705      1.086483      0.302671      4.208070      0.033135      0.019753      0.783288      0.424242      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1937.00    0.012347      3.911102      0.068105      0.000060      0.000373      3.317277      0.035766      1.108003      0.076642      2.447284      0.009556      0.005906      0.613135      0.328374      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1938.00    0.030810      5.001158      0.088677      0.000122      0.000754      2.837801      0.030596      0.963851      0.320891      4.639593      0.030576      0.019632      0.741132      0.401645      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1939.00    0.016804      4.057542      0.070751      0.000089      0.000551      3.628077      0.039117      1.255703      0.082520      2.000945      0.009059      0.006153      0.598831      0.326263      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1940.00    0.138156      5.613800      0.099103      0.000562      0.003468      2.921624      0.031500      1.029093      1.388726      6.498334      0.192119      0.114971      0.843166      0.460639      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1941.00    0.073691      4.863992      0.085199      0.000427      0.002639      3.573403      0.038527      1.273595      0.324957      3.765901      0.053206      0.033255      0.927272      0.516056      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1942.00    0.071628      5.808507      0.101284      0.000325      0.002004      2.547773      0.027469      0.913098      0.947618      5.622647      0.122633      0.076028      1.028552      0.574240      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1943.00    0.021971      4.790600      0.083152      0.000105      0.000649      3.194604      0.034443      1.149967      0.146346      4.394107      0.021004      0.013403      1.054686      0.593582      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1944.00    0.077274      7.750290      0.137375      0.000431      0.002660      3.239194      0.034924      1.165270      1.008930      7.378272      0.166062      0.093358      1.523248      0.856435      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1945.00    0.027262      5.591515      0.098524      0.000141      0.000869      3.611331      0.038936      1.298568      0.198341      5.514895      0.037112      0.021347      1.533281      0.828928      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1946.00    0.260343      8.571044      0.151646      0.001417      0.008747      3.193902      0.034436      1.143433      1.798986      8.268118      0.262979      0.165229      1.917445      1.039552      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1947.00    0.050657      5.970568      0.104402      0.000401      0.002477      3.738792      0.040310      1.330365      0.163544      3.232851      0.029428      0.019171      1.409118      0.784084      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1948.00    0.248674      7.377385      0.128977      0.001299      0.008016      2.995083      0.032292      1.063635      1.995890      7.377456      0.348698      0.199128      1.596106      0.882194      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1949.00    0.030531      5.461538      0.095489      0.000210      0.001296      3.397699      0.036633      1.200158      0.120046      4.446778      0.024572      0.014533      1.463519      0.799105      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
